Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED,From Line 6
162,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69510 Office of Catholic Schools,353 Title II - Teacher Quality,54205 Travel Expense,228958 Federal - Nonpublic Inst (Catholic),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$1,518",,
163,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Edwin G. Foreman College and Career Academy,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,46131 Edwin G. Foreman College and Career Academy,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,563",,
164,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Carl Schurz High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,46281 Carl Schurz High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,563",,
165,19-0925-EX1,Transfer from Capital/Operations - City Wide to Johann W von Goethe Elementary School,Funds Transfer From Award# 2020-488-00-05 To Project# 2020-23341-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009507 N O&M Cip,000000 Default Value,23341 Johann W von Goethe Elementary School,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$1,604",,
166,19-0925-EX1,Transfer from Kenwood Academy High School to Information & Technology Services,RITM0295287-budget transfer request for wiring and jack for data drop. SNOW REQ0283899 SCTASK0295069,46361 Kenwood Academy High School,115 General Education Fund,54210 Pupil Transportation,320020 Other After Schools Programs,000575 Student Based Budgeting,12510 Information & Technology Services,115 General Education Fund,54405 Services - Telephone & Telegraph,254501 Telecom (Non E-Rate),000000 Default Value,"$1,613",,
167,19-0925-EX1,Transfer from Capital/Operations - City Wide to Mark Sheridan Math & Science Academy,Funds Transfer From Award# 2020-488-00-05 To Project# 2020-29201-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009507 N O&M Cip,000000 Default Value,29201 Mark Sheridan Math & Science Academy,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$1,630",,
168,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Richard Edwards Elementary School,FY20 21CCLC Adult Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,442185 21st Century Community Learning Centers Fy20,23081 Richard Edwards Elementary School,"324 Miscellaneous Federal, State & Local Grants",51130 Teacher Salaries - Extended Day,390008 Other Government Funded - Community Services,442185 21st Century Community Learning Centers Fy20,"$1,677",,
169,19-0925-EX1,Transfer from Citywide Student Support and Engagement to David G Farragut Career Academy High School,Transfer for increase in Recruitment Coordinator position,10875 Citywide Student Support and Engagement,115 General Education Fund,57940 Miscellaneous Charges,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,53091 David G Farragut Career Academy High School,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$1,699",,
170,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Lutheran Education Foundation,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69336 Lutheran Education Foundation,353 Title II - Teacher Quality,54125 Services - Professional/Administrative,221022 Federal - Nonpublic Inst (Lutheran),494068 Title Iia - Other Private Supplementary Servc.,"$1,750",,
171,19-0925-EX1,Transfer from Capital/Operations - City Wide to Thomas Hoyne Elementary School,Funds Transfer From Award# 2020-488-00-02 To Project# 2020-23871-OPI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,23871 Thomas Hoyne Elementary School,488 Series 2017H,56310 Capitalized Construction,009563 Bathrooms,000000 Default Value,"$1,750",,
172,19-0925-EX1,Transfer from Capital/Operations - City Wide to Johnnie Colemon Elementary Academy,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-26751-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,26751 Johnnie Colemon Elementary Academy,488 Series 2017H,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,"$1,754",,
173,19-0925-EX1,Transfer from Pre-K - 12 Curriculum to Pre-K - 12 Curriculum,Transfer of funds to update position 504676,10814 Pre-K - 12 Curriculum,115 General Education Fund,54125 Services - Professional/Administrative,221206 Learning Technology,000000 Default Value,10814 Pre-K - 12 Curriculum,115 General Education Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000000 Default Value,"$1,766",,
174,19-0925-EX1,Transfer from Capital/Operations - City Wide to George Leland Elementary School,Funds Transfer From Award# 2020-488-00-05 To Project# 2020-26391-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009507 N O&M Cip,000000 Default Value,26391 George Leland Elementary School,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$1,771",,
175,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69510 Office of Catholic Schools,353 Title II - Teacher Quality,54130 Services - Non Professional,221022 Federal - Nonpublic Inst (Lutheran),494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,"$1,800",,
176,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Perkins Bass Elementary School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,22161 Perkins Bass Elementary School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
177,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Lillian R. Nicholson STEM Academy,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,22181 Lillian R. Nicholson STEM Academy,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
178,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Charles S Brownell Elementary School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,22361 Charles S Brownell Elementary School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
179,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Crown Community Academy of Fine Arts Center ES,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,31041 Crown Community Academy of Fine Arts Center ES,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
180,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to John B Drake Elementary School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,23011 John B Drake Elementary School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
181,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Frank L Gillespie Elementary School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,23321 Frank L Gillespie Elementary School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
182,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Thomas A Hendricks Elementary Community Academy,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,31121 Thomas A Hendricks Elementary Community Academy,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
183,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to James E McDade Elementary Classical School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,29181 James E McDade Elementary Classical School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
184,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Joseph Warren Elementary School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,25761 Joseph Warren Elementary School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
185,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Lenart Elementary Regional Gifted Center,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,29361 Lenart Elementary Regional Gifted Center,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
186,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to George Manierre Elementary School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,24311 George Manierre Elementary School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$1,800",,
187,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to GFP/Other Private Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"440045 Title Iv, Part A - Nonpublic",69103 GFP/Other Private Schools,358 Title IV,53405 Commodities - Supplies,370007 Nonpublic Homeschool/Other,"440045 Title Iv, Part A - Nonpublic","$1,811",,
188,19-0925-EX1,Transfer from Capital/Operations - City Wide to Pulaski International School of Chicago,Funds Transfer From Award# 2017-486-00-17 To Project# 2019-31211-STR ; Change Reason : NA,12150 Capital/Operations - City Wide,486 CIT Bond Fund,56310 Capitalized Construction,009551 Masonary/Windows,000000 Default Value,31211 Pulaski International School of Chicago,486 CIT Bond Fund,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$1,829",,
189,19-0925-EX1,Transfer from Turner-Drew Elementary Language Academy to Information & Technology Services,RITM0280172 budget transfer request to pay for SOW to add one data drop for room 209.Order/ sctask0060418 SOW 8187,29041 Turner-Drew Elementary Language Academy,115 General Education Fund,53405 Commodities - Supplies,119015 Reading,000576 Supplemental Aid,12510 Information & Technology Services,115 General Education Fund,54405 Services - Telephone & Telegraph,254501 Telecom (Non E-Rate),000576 Supplemental Aid,"$1,842",,
190,19-0925-EX1,Transfer from Turner-Drew Elementary Language Academy to Information & Technology Services,SCTASK0060418/ - SOW 8187 data drop in the Teachers Lounge Room 209 for a network printer /copier.,29041 Turner-Drew Elementary Language Academy,115 General Education Fund,53405 Commodities - Supplies,119015 Reading,000576 Supplemental Aid,12510 Information & Technology Services,115 General Education Fund,54405 Services - Telephone & Telegraph,254501 Telecom (Non E-Rate),000576 Supplemental Aid,"$1,842",,
191,19-0925-EX1,Transfer from Information & Technology Services to Turner-Drew Elementary Language Academy,Reversal of TN 20200006298 (duplicate transfer),12510 Information & Technology Services,115 General Education Fund,54405 Services - Telephone & Telegraph,254501 Telecom (Non E-Rate),000576 Supplemental Aid,29041 Turner-Drew Elementary Language Academy,115 General Education Fund,53405 Commodities - Supplies,119015 Reading,000576 Supplemental Aid,"$1,842",,
192,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Noble - Rowe-Clark Math and Science Academy,Adjusting State bilingual charter allocation for Charter schools.,11540 Language & Cultural Education - City Wide,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,66144 Noble - Rowe-Clark Math and Science Academy,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,"$1,843",,
193,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"440045 Title Iv, Part A - Nonpublic",69510 Office of Catholic Schools,358 Title IV,54305 Tuition,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic","$1,850",,
194,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Disney II Magnet School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,26921 Disney II Magnet School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,875",,
195,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Lincoln Park High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,46321 Lincoln Park High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,875",,
196,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to North-Grand High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,46431 North-Grand High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,875",,
197,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Eric Solorio Academy High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,46101 Eric Solorio Academy High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,875",,
198,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Chicago Academy High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,46481 Chicago Academy High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,875",,
199,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Chicago Vocational Career Academy High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,53011 Chicago Vocational Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,875",,
200,19-0925-EX1,Transfer from Capital/Operations - City Wide to Ralph H Metcalfe Elementary Community Academy,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-31061-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,31061 Ralph H Metcalfe Elementary Community Academy,488 Series 2017H,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,"$1,882",,
201,19-0925-EX1,Transfer from Capital/Operations - City Wide to Sir Miles Davis Magnet Elementary Academy,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-29391-PKC ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,29391 Sir Miles Davis Magnet Elementary Academy,488 Series 2017H,56310 Capitalized Construction,253508 Renovations,000000 Default Value,"$1,885",,
202,19-0925-EX1,Transfer from Network 14 to Network 14,Professional Development at Northwestern.,02641 Network 14,115 General Education Fund,57940 Miscellaneous Charges,221080 Aio - Improvement Of Instruction,000000 Default Value,02641 Network 14,115 General Education Fund,54125 Services - Professional/Administrative,221080 Aio - Improvement Of Instruction,000000 Default Value,"$1,900",,
203,19-0925-EX1,Transfer from Education General - City Wide to Social Science & Civic Engagement,FY18 Special Income Fund 124 Carryover,12670 Education General - City Wide,124 School Special Income Fund,57915 Miscellaneous - Contingent Projects,600005 Special Income Fund 124 - Contingency,150900 Grants - Supplemental,10813 Social Science & Civic Engagement,124 School Special Income Fund,51330 Benefits Pointer,290001 General Salary S Bkt,000049 Cff - Discover Financial Services,"$1,908",,
204,19-0925-EX1,Transfer from Roald Amundsen High School to Education General - City Wide,Over allocation rollback,46031 Roald Amundsen High School,115 General Education Fund,51300 Regular Position Pointer,290001 General Salary S Bkt,000575 Student Based Budgeting,12670 Education General - City Wide,115 General Education Fund,57940 Miscellaneous Charges,119004 Other General Charges,000000 Default Value,"$1,913",,
205,19-0925-EX1,Transfer from Capital/Operations - City Wide to Skinner North,Funds Transfer From Award# 2020-488-00-05 To Project# 2020-22591-ORR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009507 N O&M Cip,000000 Default Value,22591 Skinner North,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$1,920",,
206,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to South Shore Intl College Prep High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,46631 South Shore Intl College Prep High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$1,963",,
207,19-0925-EX1,Transfer from Early College and Career - City Wide to David G Farragut Career Academy High School,Workbooks for CTE Pre-Law program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",53091 David G Farragut Career Academy High School,369 Title I - School Improvement Carl Perkins,53305 Instructional Materials (Non-Digital),113096 Cte Law And Public Safety,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$1,965",,
208,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Kenwood Academy High School,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,46361 Kenwood Academy High School,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$2,000",,
209,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Citywide Student Support and Engagement,TAOEP Grant - Consultants to Develop Student Participation and Data Tracking System,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,211001 Attendance & Social Work,376807 Truant Alternative Optional Education Fy20,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,211001 Attendance & Social Work,376807 Truant Alternative Optional Education Fy20,"$2,000",,
210,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Associated Talmud Torah Of,Chicago,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69530 Associated Talmud Torah Of Chicago,353 Title II - Teacher Quality,54125 Services - Professional/Administrative,228953 Federal - Nonpublic Inst (Jewish),494068 Title Iia - Other Private Supplementary Servc.,"$2,000",Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,
211,19-0925-EX1,Transfer from Network 12 to Network 12,Travel,02521 Network 12,115 General Education Fund,57940 Miscellaneous Charges,221080 Aio - Improvement Of Instruction,000000 Default Value,02521 Network 12,115 General Education Fund,54205 Travel Expense,221080 Aio - Improvement Of Instruction,000000 Default Value,"$2,000",,
212,19-0925-EX1,Transfer from Network 6 to Network 6,Transfer needed to cover office supplies for FY20,02461 Network 6,115 General Education Fund,57940 Miscellaneous Charges,221234 Professional Develop/Curriculum Develp,000000 Default Value,02461 Network 6,115 General Education Fund,53405 Commodities - Supplies,230010 Administrative Support,000000 Default Value,"$2,000",,
213,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Carl Schurz High School,Transfer for SCS bucket,10875 Citywide Student Support and Engagement,115 General Education Fund,57915 Miscellaneous - Contingent Projects,390011 Community School Initiative,000044 Ctu Sustainable Schools Initiative,46281 Carl Schurz High School,115 General Education Fund,51320 Bucket Position Pointer,290001 General Salary S Bkt,000044 Ctu Sustainable Schools Initiative,"$2,000",,
214,19-0925-EX1,Transfer from Network 3 to Network 3,For purchase of Textbooks/workbooks,02431 Network 3,115 General Education Fund,57940 Miscellaneous Charges,221234 Professional Develop/Curriculum Develp,000000 Default Value,02431 Network 3,115 General Education Fund,53305 Instructional Materials (Non-Digital),221234 Professional Develop/Curriculum Develp,000000 Default Value,"$2,000",,
215,19-0925-EX1,Transfer from Diverse Learner Supports & Services to Diverse Learner Supports & Services,Dept Request for Printing,11610 Diverse Learner Supports & Services,114 Special Education Fund,57940 Miscellaneous Charges,230010 Administrative Support,000000 Default Value,11610 Diverse Learner Supports & Services,114 Special Education Fund,54520 Services - Printing,230010 Administrative Support,000000 Default Value,"$2,000",,
216,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Lutheran Education Foundation,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IIA programs,12625 Grant Funded Programs Office - City Wide,353 Title II - Teacher Quality,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,494067 Title Iia - Archdiocese Of Chgo. Suppl. Servc.,69336 Lutheran Education Foundation,353 Title II - Teacher Quality,54305 Tuition,221022 Federal - Nonpublic Inst (Lutheran),494068 Title Iia - Other Private Supplementary Servc.,"$2,000",,
217,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Office of Catholic Schools,Transfer funds to process approved purchase order requests for Nonpublic Schools Title IV programs,12625 Grant Funded Programs Office - City Wide,358 Title IV,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"440045 Title Iv, Part A - Nonpublic",69510 Office of Catholic Schools,358 Title IV,54305 Tuition,228958 Federal - Nonpublic Inst (Catholic),"440045 Title Iv, Part A - Nonpublic","$2,000",,
218,19-0925-EX1,Transfer from Diverse Learner Supports & Services to Diverse Learner Supports & Services,Dept. Request - Printing,11610 Diverse Learner Supports & Services,114 Special Education Fund,57940 Miscellaneous Charges,230010 Administrative Support,000000 Default Value,11610 Diverse Learner Supports & Services,114 Special Education Fund,54520 Services - Printing,230010 Administrative Support,000000 Default Value,"$2,000",,
219,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to Austin College and Career Academy High School,HTT Supplies in approved grant budget-per Rachel Whybrow,10898 Social and Emotional Learning - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,46621 Austin College and Career Academy High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,"$2,000",,
220,19-0925-EX1,Transfer from Social and Emotional Learning - City Wide to James H Bowen High School,HTT Supplies in approved grant budget-per Rachel Whybrow,10898 Social and Emotional Learning - City Wide,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,46051 James H Bowen High School,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,221001 School Instructional Support Services,511248 Cps Healing Trauma Together Fy19,"$2,000",,
